FPS: 60.04, UPS: 60.04
FPS: 59.90, UPS: 59.90
FPS: 60.15, UPS: 60.15
FPS: 59.77, UPS: 59.77
FPS: 60.03, UPS: 60.03
FPS: 59.97, UPS: 59.97
FPS: 59.90, UPS: 59.90
FPS: 59.98, UPS: 59.98
FPS: 59.93, UPS: 59.93
FPS: 60.11, UPS: 60.11
FPS: 59.87, UPS: 59.87
FPS: 59.94, UPS: 59.94
FPS: 59.94, UPS: 59.94
FPS: 60.06, UPS: 60.06
FPS: 59.93, UPS: 59.93
FPS: 59.88, UPS: 59.88
FPS: 59.97, UPS: 59.97
FPS: 59.94, UPS: 59.94
FPS: 59.95, UPS: 58.95
FPS: 59.92, UPS: 59.92
FPS: 59.90, UPS: 59.90
FPS: 59.95, UPS: 59.95
FPS: 60.03, UPS: 60.03
FPS: 59.97, UPS: 59.97
FPS: 59.85, UPS: 59.85
FPS: 59.91, UPS: 59.91
FPS: 60.11, UPS: 60.11
FPS: 59.92, UPS: 59.92
FPS: 59.94, UPS: 59.94
FPS: 59.91, UPS: 59.91
FPS: 59.94, UPS: 59.94
FPS: 60.09, UPS: 60.09
FPS: 59.88, UPS: 59.88
FPS: 60.04, UPS: 60.04
FPS: 59.91, UPS: 59.91
FPS: 59.99, UPS: 59.99
FPS: 59.96, UPS: 59.96
FPS: 59.93, UPS: 59.93
FPS: 59.91, UPS: 59.91
FPS: 59.94, UPS: 59.94
FPS: 59.80, UPS: 59.80
FPS: 60.13, UPS: 60.13
FPS: 59.90, UPS: 59.90
FPS: 60.00, UPS: 60.00
FPS: 59.90, UPS: 59.90
FPS: 59.88, UPS: 59.88
FPS: 60.07, UPS: 60.07
FPS: 59.91, UPS: 59.91
FPS: 60.01, UPS: 60.01
FPS: 59.95, UPS: 59.95
FPS: 59.92, UPS: 59.92
FPS: 59.98, UPS: 59.98
FPS: 59.92, UPS: 59.92
FPS: 60.05, UPS: 60.05
FPS: 59.87, UPS: 59.87
FPS: 59.98, UPS: 59.98
FPS: 59.95, UPS: 59.95
FPS: 59.92, UPS: 59.92
FPS: 59.90, UPS: 59.90
FPS: 60.03, UPS: 60.03
FPS: 59.88, UPS: 59.88
FPS: 60.02, UPS: 60.02
FPS: 59.91, UPS: 59.91
FPS: 59.98, UPS: 59.98
FPS: 59.88, UPS: 59.88
FPS: 60.15, UPS: 60.15
FPS: 59.88, UPS: 59.88
FPS: 59.91, UPS: 59.91
FPS: 59.98, UPS: 59.98
FPS: 59.94, UPS: 59.94
FPS: 59.96, UPS: 59.96
FPS: 59.97, UPS: 59.97
FPS: 59.97, UPS: 59.97
FPS: 59.94, UPS: 59.94
FPS: 59.95, UPS: 59.95
FPS: 59.98, UPS: 59.98
FPS: 59.90, UPS: 59.90
FPS: 59.92, UPS: 59.92
FPS: 60.00, UPS: 60.00
FPS: 59.94, UPS: 59.94
FPS: 60.02, UPS: 60.02
FPS: 59.95, UPS: 59.95
FPS: 59.99, UPS: 59.99
FPS: 59.91, UPS: 59.91
FPS: 59.99, UPS: 59.99
FPS: 59.76, UPS: 59.76
FPS: 60.12, UPS: 60.12
FPS: 59.95, UPS: 59.95
FPS: 59.80, UPS: 59.80
FPS: 60.15, UPS: 60.15
FPS: 59.86, UPS: 59.86
FPS: 59.93, UPS: 59.93
FPS: 59.95, UPS: 59.95
FPS: 60.01, UPS: 60.01
FPS: 59.86, UPS: 59.86
FPS: 60.00, UPS: 60.00
FPS: 60.03, UPS: 60.03
FPS: 59.72, UPS: 59.72
FPS: 60.22, UPS: 60.22
FPS: 59.89, UPS: 59.89
FPS: 59.99, UPS: 59.99
FPS: 59.96, UPS: 59.96
FPS: 59.99, UPS: 59.99
FPS: 59.81, UPS: 59.81
FPS: 60.04, UPS: 60.04
FPS: 59.93, UPS: 59.93
FPS: 60.08, UPS: 60.08
FPS: 59.93, UPS: 59.93
FPS: 59.74, UPS: 59.74
FPS: 60.11, UPS: 59.12
FPS: 59.91, UPS: 59.91
FPS: 59.91, UPS: 59.91
FPS: 60.02, UPS: 60.02
FPS: 59.83, UPS: 59.83
FPS: 59.99, UPS: 59.99
FPS: 59.97, UPS: 59.97
FPS: 60.04, UPS: 60.04
FPS: 59.90, UPS: 59.90
FPS: 59.94, UPS: 59.94
FPS: 60.06, UPS: 60.06
FPS: 59.82, UPS: 59.82
FPS: 60.06, UPS: 60.06
FPS: 59.90, UPS: 59.90
FPS: 60.07, UPS: 60.07
FPS: 59.82, UPS: 59.82
FPS: 59.99, UPS: 59.99
FPS: 59.94, UPS: 59.94
FPS: 59.96, UPS: 59.96
FPS: 59.87, UPS: 59.87
FPS: 60.00, UPS: 60.00
FPS: 59.96, UPS: 59.96
FPS: 59.89, UPS: 59.89
FPS: 60.10, UPS: 60.10
FPS: 59.96, UPS: 59.96
FPS: 59.93, UPS: 59.93
FPS: 59.86, UPS: 59.86
FPS: 59.93, UPS: 59.93
FPS: 59.96, UPS: 59.96
FPS: 59.90, UPS: 59.90
FPS: 60.09, UPS: 60.09
FPS: 59.83, UPS: 59.83
FPS: 60.12, UPS: 60.12
FPS: 60.00, UPS: 60.00
FPS: 59.96, UPS: 59.96
FPS: 59.83, UPS: 59.83
FPS: 59.90, UPS: 59.90
FPS: 59.97, UPS: 59.97
FPS: 59.93, UPS: 59.93
FPS: 60.03, UPS: 60.03
FPS: 59.99, UPS: 59.99
FPS: 59.89, UPS: 59.89
FPS: 59.92, UPS: 59.92
FPS: 60.00, UPS: 60.00
FPS: 59.98, UPS: 59.98
FPS: 59.95, UPS: 59.95
FPS: 59.90, UPS: 59.90
FPS: 59.95, UPS: 59.95
FPS: 59.94, UPS: 59.94
FPS: 59.94, UPS: 59.94
FPS: 59.98, UPS: 59.98
FPS: 59.97, UPS: 59.97
FPS: 60.01, UPS: 60.01
FPS: 59.83, UPS: 59.83
FPS: 60.08, UPS: 60.08
FPS: 59.90, UPS: 59.90
FPS: 59.83, UPS: 59.83
FPS: 59.98, UPS: 59.98
FPS: 60.10, UPS: 60.10
FPS: 59.99, UPS: 59.99
FPS: 59.97, UPS: 59.97
FPS: 59.96, UPS: 59.96
FPS: 59.80, UPS: 59.80
FPS: 60.13, UPS: 60.13
FPS: 59.94, UPS: 59.94
FPS: 59.89, UPS: 59.89
FPS: 59.97, UPS: 59.97
FPS: 59.84, UPS: 59.84
FPS: 59.99, UPS: 59.99
FPS: 59.99, UPS: 59.99
FPS: 59.96, UPS: 59.96
FPS: 59.98, UPS: 59.98
FPS: 59.83, UPS: 59.83
FPS: 59.97, UPS: 59.97
FPS: 59.90, UPS: 59.90
FPS: 60.03, UPS: 60.03
FPS: 59.92, UPS: 59.92
FPS: 60.02, UPS: 60.02
FPS: 59.95, UPS: 59.95
FPS: 59.90, UPS: 59.90
FPS: 60.00, UPS: 60.00
FPS: 59.94, UPS: 59.94
FPS: 60.00, UPS: 60.00
FPS: 59.73, UPS: 59.73
FPS: 60.27, UPS: 60.27
FPS: 59.72, UPS: 59.72
FPS: 60.11, UPS: 60.11
FPS: 59.90, UPS: 59.90
FPS: 60.00, UPS: 60.00
FPS: 59.95, UPS: 59.95
FPS: 59.94, UPS: 59.94
FPS: 59.99, UPS: 59.99
FPS: 59.76, UPS: 59.76
FPS: 60.08, UPS: 60.08
FPS: 59.93, UPS: 59.93
FPS: 60.12, UPS: 60.12
FPS: 59.95, UPS: 58.95
FPS: 59.87, UPS: 59.87
FPS: 59.91, UPS: 59.91
FPS: 59.98, UPS: 59.98
FPS: 59.98, UPS: 59.98
FPS: 59.97, UPS: 59.97
FPS: 59.95, UPS: 59.95
FPS: 59.94, UPS: 59.94
FPS: 59.99, UPS: 59.99
FPS: 59.79, UPS: 59.79
FPS: 60.09, UPS: 60.09
FPS: 59.93, UPS: 59.93
FPS: 59.97, UPS: 59.97
FPS: 59.95, UPS: 59.95
FPS: 60.00, UPS: 60.00
FPS: 59.91, UPS: 59.91
FPS: 59.90, UPS: 59.90
FPS: 59.90, UPS: 59.90
FPS: 60.03, UPS: 60.03
FPS: 60.00, UPS: 60.00
FPS: 59.92, UPS: 59.92
FPS: 59.96, UPS: 59.96
FPS: 59.92, UPS: 59.92
FPS: 60.00, UPS: 60.00
FPS: 59.88, UPS: 59.88
FPS: 59.97, UPS: 59.97
FPS: 59.92, UPS: 59.92
FPS: 59.97, UPS: 59.97
FPS: 59.95, UPS: 59.95
FPS: 59.97, UPS: 59.97
FPS: 59.92, UPS: 59.92
FPS: 60.05, UPS: 60.05
FPS: 59.82, UPS: 59.82
FPS: 60.04, UPS: 60.04
FPS: 59.94, UPS: 59.94
FPS: 59.96, UPS: 59.96
FPS: 59.96, UPS: 59.96
FPS: 59.93, UPS: 59.93
FPS: 59.92, UPS: 59.92
FPS: 59.97, UPS: 59.97
FPS: 59.99, UPS: 59.99
FPS: 59.99, UPS: 59.99
FPS: 59.95, UPS: 59.95
FPS: 59.95, UPS: 59.95
FPS: 59.90, UPS: 59.90
FPS: 59.96, UPS: 59.96
FPS: 59.92, UPS: 59.92
FPS: 60.02, UPS: 60.02
FPS: 59.93, UPS: 59.93
FPS: 59.96, UPS: 59.96
FPS: 59.98, UPS: 59.98
FPS: 59.97, UPS: 59.97
FPS: 59.84, UPS: 59.84
FPS: 59.98, UPS: 59.98
FPS: 60.05, UPS: 60.05
FPS: 59.97, UPS: 59.97
FPS: 59.88, UPS: 59.88
FPS: 59.97, UPS: 59.97
FPS: 59.99, UPS: 59.99
FPS: 59.87, UPS: 59.87
FPS: 59.91, UPS: 59.91
FPS: 59.96, UPS: 59.96
FPS: 60.03, UPS: 60.03
FPS: 59.94, UPS: 59.94
FPS: 59.97, UPS: 59.97
FPS: 59.90, UPS: 59.90
FPS: 60.00, UPS: 60.00
FPS: 59.94, UPS: 59.94
FPS: 59.92, UPS: 59.92
FPS: 59.98, UPS: 59.98
FPS: 59.99, UPS: 59.99
FPS: 59.87, UPS: 59.87
FPS: 59.98, UPS: 59.98
FPS: 60.00, UPS: 60.00
FPS: 59.94, UPS: 59.94
FPS: 59.98, UPS: 59.98
FPS: 60.06, UPS: 60.06
FPS: 59.85, UPS: 59.85
FPS: 59.94, UPS: 59.94
FPS: 59.93, UPS: 59.93
FPS: 59.90, UPS: 59.90
FPS: 59.99, UPS: 59.99
FPS: 59.93, UPS: 59.93
FPS: 60.15, UPS: 60.15
FPS: 59.96, UPS: 59.96
FPS: 59.80, UPS: 59.80
FPS: 60.02, UPS: 60.02
FPS: 60.04, UPS: 60.04
FPS: 59.82, UPS: 59.82
FPS: 59.88, UPS: 59.88
FPS: 59.97, UPS: 59.97
FPS: 60.15, UPS: 60.15
FPS: 59.84, UPS: 59.84
FPS: 59.96, UPS: 59.96
FPS: 59.94, UPS: 59.94
FPS: 59.90, UPS: 59.90
FPS: 60.09, UPS: 60.09
FPS: 59.93, UPS: 59.93
FPS: 59.96, UPS: 59.96
FPS: 59.96, UPS: 59.96
FPS: 59.93, UPS: 59.93
FPS: 59.97, UPS: 59.97
FPS: 59.91, UPS: 59.91
FPS: 59.96, UPS: 59.96
FPS: 59.93, UPS: 59.93
FPS: 59.85, UPS: 59.85
FPS: 60.01, UPS: 60.01
FPS: 60.03, UPS: 60.03
FPS: 59.98, UPS: 59.98
FPS: 59.98, UPS: 59.98
FPS: 59.90, UPS: 59.90
FPS: 59.84, UPS: 59.84
FPS: 60.11, UPS: 60.11
FPS: 59.87, UPS: 59.87
FPS: 59.86, UPS: 59.86
FPS: 60.10, UPS: 60.10
FPS: 59.97, UPS: 59.97
FPS: 59.90, UPS: 59.90
FPS: 59.89, UPS: 59.89
FPS: 60.06, UPS: 60.06
FPS: 59.98, UPS: 59.98
FPS: 59.95, UPS: 58.95
FPS: 59.94, UPS: 59.94
FPS: 59.81, UPS: 58.81
FPS: 60.09, UPS: 60.09
FPS: 59.89, UPS: 59.89
FPS: 59.91, UPS: 59.91
FPS: 60.01, UPS: 60.01
FPS: 59.99, UPS: 59.99
FPS: 59.94, UPS: 59.94
FPS: 59.87, UPS: 59.87
FPS: 59.96, UPS: 59.96
FPS: 60.01, UPS: 60.01
FPS: 59.96, UPS: 59.96
FPS: 59.96, UPS: 59.96
FPS: 59.94, UPS: 59.94
FPS: 59.92, UPS: 59.92
FPS: 59.95, UPS: 59.95
FPS: 59.96, UPS: 59.96
FPS: 59.86, UPS: 59.86
FPS: 59.90, UPS: 59.90
FPS: 60.10, UPS: 60.10
FPS: 59.95, UPS: 59.95
FPS: 59.99, UPS: 59.99
FPS: 59.96, UPS: 59.96
FPS: 59.96, UPS: 59.96
FPS: 59.91, UPS: 59.91
FPS: 59.83, UPS: 59.83
FPS: 60.09, UPS: 60.09
FPS: 59.96, UPS: 59.96
FPS: 59.89, UPS: 59.89
FPS: 59.97, UPS: 59.97
FPS: 59.92, UPS: 59.92
FPS: 59.90, UPS: 59.90
FPS: 60.13, UPS: 60.13
FPS: 59.98, UPS: 59.98
FPS: 59.82, UPS: 59.82
FPS: 60.02, UPS: 60.02
FPS: 59.96, UPS: 59.96
FPS: 59.94, UPS: 59.94
FPS: 59.99, UPS: 59.99
FPS: 59.90, UPS: 59.90
FPS: 59.83, UPS: 59.83
FPS: 59.95, UPS: 59.95
FPS: 60.06, UPS: 60.06
FPS: 59.96, UPS: 59.96
FPS: 59.93, UPS: 59.93
FPS: 60.01, UPS: 60.01
FPS: 59.94, UPS: 59.94
FPS: 59.92, UPS: 59.92
FPS: 59.96, UPS: 59.96
FPS: 59.99, UPS: 59.99
FPS: 59.99, UPS: 59.99
FPS: 59.92, UPS: 59.92
FPS: 59.94, UPS: 59.94
FPS: 59.93, UPS: 59.93
FPS: 59.89, UPS: 59.89
FPS: 60.06, UPS: 60.06
FPS: 59.93, UPS: 59.93
FPS: 59.88, UPS: 59.88
FPS: 60.06, UPS: 60.06
FPS: 59.96, UPS: 59.96
FPS: 59.94, UPS: 59.94
FPS: 59.93, UPS: 59.93
FPS: 59.86, UPS: 59.86
FPS: 59.99, UPS: 59.99
FPS: 59.99, UPS: 59.99
FPS: 59.87, UPS: 59.87
FPS: 59.90, UPS: 59.90
FPS: 60.07, UPS: 60.07
FPS: 59.76, UPS: 59.76
FPS: 60.00, UPS: 60.00
FPS: 59.99, UPS: 59.99
FPS: 60.00, UPS: 60.00
FPS: 60.05, UPS: 60.05
FPS: 59.94, UPS: 59.94
FPS: 60.04, UPS: 60.04
FPS: 59.90, UPS: 59.90
FPS: 59.92, UPS: 59.92
FPS: 59.96, UPS: 59.96
FPS: 59.99, UPS: 59.99
FPS: 59.95, UPS: 59.95
FPS: 60.00, UPS: 60.00
FPS: 59.93, UPS: 59.93
FPS: 59.87, UPS: 59.87
FPS: 60.05, UPS: 60.05
FPS: 59.93, UPS: 59.93
FPS: 59.94, UPS: 59.94
FPS: 59.97, UPS: 59.97
FPS: 59.89, UPS: 59.89
FPS: 60.00, UPS: 60.00
FPS: 59.95, UPS: 59.95
FPS: 59.97, UPS: 59.97
FPS: 59.85, UPS: 59.85
FPS: 59.99, UPS: 59.99
FPS: 59.92, UPS: 59.92
FPS: 59.92, UPS: 59.92
FPS: 60.03, UPS: 60.03
FPS: 59.94, UPS: 59.94
FPS: 59.82, UPS: 59.82
FPS: 60.09, UPS: 60.09
FPS: 59.88, UPS: 59.88
FPS: 60.03, UPS: 60.03
FPS: 59.92, UPS: 59.92
FPS: 59.98, UPS: 59.98
FPS: 59.93, UPS: 59.93
FPS: 59.94, UPS: 59.94
FPS: 59.99, UPS: 59.99
FPS: 59.89, UPS: 59.89
FPS: 60.00, UPS: 60.00
FPS: 59.98, UPS: 59.98
FPS: 59.91, UPS: 59.91
FPS: 59.92, UPS: 59.92
FPS: 59.99, UPS: 59.99
FPS: 59.99, UPS: 59.99
FPS: 59.80, UPS: 59.80
FPS: 60.09, UPS: 60.09
FPS: 59.86, UPS: 59.86
FPS: 60.09, UPS: 60.09
FPS: 59.92, UPS: 59.92
FPS: 59.94, UPS: 59.94
FPS: 59.93, UPS: 59.93
FPS: 59.92, UPS: 59.92
FPS: 60.06, UPS: 60.06
FPS: 59.95, UPS: 59.95
FPS: 59.87, UPS: 57.87
FPS: 59.92, UPS: 59.92
FPS: 59.98, UPS: 59.98
FPS: 60.09, UPS: 60.09
FPS: 59.79, UPS: 59.79
FPS: 60.05, UPS: 60.05
FPS: 59.95, UPS: 59.95
FPS: 59.89, UPS: 59.89
FPS: 59.85, UPS: 59.85
FPS: 60.16, UPS: 60.16
FPS: 59.94, UPS: 59.94
FPS: 59.95, UPS: 59.95
FPS: 59.96, UPS: 59.96
FPS: 59.95, UPS: 59.95
FPS: 59.94, UPS: 59.94
FPS: 59.82, UPS: 59.82
FPS: 60.08, UPS: 60.08
FPS: 59.99, UPS: 59.99
FPS: 59.94, UPS: 59.94
FPS: 59.94, UPS: 59.94
FPS: 59.94, UPS: 59.94
FPS: 59.95, UPS: 59.95
FPS: 60.00, UPS: 60.00
FPS: 59.94, UPS: 59.94
FPS: 59.96, UPS: 59.96
FPS: 59.94, UPS: 59.94
FPS: 59.86, UPS: 59.86
FPS: 60.03, UPS: 60.03
FPS: 59.91, UPS: 59.91
FPS: 59.98, UPS: 58.98
FPS: 59.99, UPS: 59.99
FPS: 59.86, UPS: 59.86
FPS: 60.03, UPS: 60.03
FPS: 59.92, UPS: 58.92
FPS: 60.06, UPS: 60.06
FPS: 59.97, UPS: 59.97
FPS: 59.86, UPS: 59.86
FPS: 60.03, UPS: 60.03
FPS: 59.91, UPS: 59.91
FPS: 59.96, UPS: 59.96
FPS: 59.98, UPS: 59.98
FPS: 59.98, UPS: 59.98
FPS: 59.88, UPS: 59.88
FPS: 60.00, UPS: 60.00
FPS: 59.90, UPS: 59.90
FPS: 59.96, UPS: 59.96
FPS: 59.96, UPS: 59.96
FPS: 59.94, UPS: 59.94
FPS: 59.95, UPS: 59.95
FPS: 59.97, UPS: 59.97
FPS: 59.85, UPS: 59.85
FPS: 59.93, UPS: 59.93
FPS: 60.14, UPS: 59.16
FPS: 59.96, UPS: 59.96
FPS: 59.87, UPS: 59.87
FPS: 59.96, UPS: 59.96
FPS: 59.90, UPS: 59.90
FPS: 59.92, UPS: 59.92
FPS: 59.98, UPS: 59.98
FPS: 59.96, UPS: 59.96
FPS: 59.94, UPS: 59.94
FPS: 59.97, UPS: 59.97
FPS: 60.01, UPS: 60.01
FPS: 59.94, UPS: 59.94
FPS: 59.92, UPS: 59.92
FPS: 59.94, UPS: 59.94
FPS: 59.97, UPS: 59.97
FPS: 59.96, UPS: 59.96
FPS: 59.95, UPS: 59.95
FPS: 59.95, UPS: 59.95
FPS: 60.00, UPS: 60.00
FPS: 59.98, UPS: 59.98
FPS: 59.93, UPS: 59.93
FPS: 59.87, UPS: 59.87
FPS: 60.05, UPS: 60.05
FPS: 59.77, UPS: 59.77
FPS: 60.07, UPS: 60.07
FPS: 60.07, UPS: 60.07
FPS: 59.97, UPS: 59.97
FPS: 59.92, UPS: 59.92
FPS: 59.93, UPS: 59.93
FPS: 60.01, UPS: 60.01
FPS: 59.93, UPS: 59.93
FPS: 59.83, UPS: 59.83
FPS: 60.09, UPS: 60.09
FPS: 59.93, UPS: 59.93
FPS: 59.98, UPS: 59.98
